               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 108,            0.019987,            0.019805,          0.00092446,             0.98721,             0.98039,             0.98399,             0.79004,            0.017989,            0.014292,          0.00086485,            0.002938,            0.002938,            0.002938
                 109,            0.020348,            0.019708,          0.00090176,             0.98806,             0.98039,              0.9832,             0.76263,            0.018804,            0.014193,          0.00086172,            0.002872,            0.002872,            0.002872
                 110,            0.020086,            0.020969,          0.00086798,             0.98819,             0.98039,             0.98339,             0.76424,              0.0192,            0.014387,          0.00082922,            0.002806,            0.002806,            0.002806
                 111,            0.020226,            0.020442,          0.00091083,             0.98863,             0.98039,             0.98222,             0.79474,            0.017968,            0.014067,          0.00083321,             0.00274,             0.00274,             0.00274
                 112,            0.020012,            0.018693,          0.00090089,             0.98979,             0.98039,             0.98126,             0.79448,            0.018379,            0.013951,          0.00082181,            0.002674,            0.002674,            0.002674
                 113,            0.021232,            0.018591,          0.00085455,             0.98997,             0.98039,             0.97951,             0.77875,            0.019844,            0.014306,           0.0008643,            0.002608,            0.002608,            0.002608
                 114,            0.019925,            0.020904,          0.00085479,             0.98991,             0.98039,             0.98081,             0.78441,              0.0182,            0.013921,          0.00089177,            0.002542,            0.002542,            0.002542
                 115,            0.018543,            0.016512,          0.00093674,             0.98948,             0.98039,             0.98156,             0.82107,            0.014987,            0.013504,          0.00085165,            0.002476,            0.002476,            0.002476
                 116,            0.017841,            0.019361,          0.00099275,             0.98936,             0.98039,             0.98201,             0.80825,            0.015947,            0.013652,          0.00083361,             0.00241,             0.00241,             0.00241
                 117,            0.018315,            0.019566,          0.00080949,             0.98969,             0.98039,             0.98203,             0.83215,            0.015336,             0.01337,           0.0008602,            0.002344,            0.002344,            0.002344
                 118,            0.018081,            0.017942,          0.00085012,             0.98982,             0.98039,             0.98084,             0.80405,            0.015951,            0.013462,           0.0008795,            0.002278,            0.002278,            0.002278
